Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-01-01,29111.5215671239,28872.8297746092,29280.0453282743,27916.6250585376
BTC,2021-01-02,29333.6051206224,28935.8109810492,29601.5948984761,28753.412313829
BTC,2021-01-03,32154.1673632745,29353.6406079891,33064.6735343199,29012.9278866631
BTC,2021-01-04,33002.5364270397,32074.1066108681,34452.0803367239,31885.5816186745
BTC,2021-01-05,31431.6122797216,32788.5834526939,33358.3993456031,28154.1102978607
BTC,2021-01-06,34433.6065138377,31991.9268648971,34435.4174754116,29948.6536284251
BTC,2021-01-07,36275.7563476709,34001.3447644318,36461.6917738274,33351.0281200728
BTC,2021-01-08,39713.5078567171,36806.4197553652,40324.0140328883,36356.4307560234
BTC,2021-01-09,40519.4485975339,39420.800696056,41962.3621250156,36741.3301768178
BTC,2021-01-10,40258.923988658,40558.1021230592,41375.4306807605,38766.2761605625
BTC,2021-01-11,38709.7653748751,40096.333201718,41186.5234299068,34897.55046586
BTC,2021-01-12,34409.6423752223,38132.535793776,38204.7544098997,30305.3000452098
BTC,2021-01-13,34214.6102620504,35432.8591449362,36566.9090630439,32538.9411741261
BTC,2021-01-14,37017.0075034547,34070.3256221573,37798.8601044987,32470.585257739
BTC,2021-01-15,38435.8635146613,37373.1619606947,40066.3197563039,36770.7951226794
BTC,2021-01-16,36751.5849736892,39127.6785205561,39673.0723008878,34425.4879409361
BTC,2021-01-17,36016.7796059422,36752.7711846477,37943.5121652479,35398.8675192264
BTC,2021-01-18,36375.8113792618,36016.7530890736,36840.1328539,33870.1383757585
BTC,2021-01-19,36346.6095022257,35847.8334246585,37440.4040115605,34816.2892503946
BTC,2021-01-20,36577.5196463886,36639.9859124177,37876.1589287651,36136.5355744097
BTC,2021-01-21,35004.5326268831,35909.4322470885,36409.7085963005,33430.8219917583
BTC,2021-01-22,30606.1826756533,35491.4239211366,35612.7371984016,30077.2789554444
BTC,2021-01-23,33368.3659318948,30844.8331515336,33873.7729879217,28845.3114802702
BTC,2021-01-24,32070.0974252022,33000.4466440014,33501.248445319,31451.2963049754
BTC,2021-01-25,32285.726132437,32107.3918172586,33088.5485468723,30987.7038591708
BTC,2021-01-26,32500.2559626891,32297.5041671983,34893.984019267,31949.282371139
BTC,2021-01-27,32324.5556507343,32270.825619776,32770.8046094116,31062.5495278594
BTC,2021-01-28,30534.9993730199,32497.8484610587,32570.2815018184,29452.7855936193
BTC,2021-01-29,33408.2183373915,30426.0844006272,33481.4854175656,29921.9600768936
BTC,2021-01-30,34842.5573931247,33424.5955911396,38468.0782896097,31984.0089164245
